epoch,train_mse,train_ci,train_r2m,valid_mse,valid_ci,valid_r2m
1,0.9878124220683253,0.7053333161132262,0.030752170334093446,0.602700169637571,0.7502929792149786,0.2535439469643021
2,0.6207910463210087,0.7234365301404702,0.21574472733730252,0.536856046272955,0.7648493525309374,0.3245601390424916
3,0.5630787668706886,0.7437865908853905,0.28698816713487924,0.516654075352968,0.7760061382038895,0.35564544809150095
4,0.5300343780783111,0.7577254986767525,0.329617941216247,0.4657522446670447,0.7873755320562554,0.41458502988597423
5,0.504063191941921,0.7621451864435995,0.3615658367007574,0.45070648400755287,0.8031042508776517,0.43819789568359485
6,0.49212198820715597,0.7687775862509778,0.3776676752814683,0.4644273595672853,0.8040121220953907,0.4142640096272336
7,0.4878599520251005,0.7829418214124528,0.3825896397683736,0.4591001328345369,0.8174904519209749,0.43638310401512254
8,0.4605443740569998,0.7971354282577658,0.4191414974891884,0.4004270407697246,0.8144097765470889,0.5054779920728997
9,0.4412361307513938,0.801636198544962,0.4422470213574933,0.4257468357408821,0.8070889396595697,0.45000032997793066
10,0.4297301381032513,0.800688151069661,0.4573763528319278,0.40221868710134373,0.8212432434749435,0.5196824286884175
11,0.41492729350143076,0.8064133975027651,0.47676536213817305,0.39316842774886945,0.8116518712520308,0.5140042840617983
12,0.40337598704805283,0.8131864115478235,0.4914903636434512,0.3750383831396355,0.8278490996300789,0.5363834424038647
13,0.3906976775087571,0.8090007376671724,0.5065459321256676,0.375476900622871,0.826511725598282,0.5262591395084842
